sample_rank,company_number,company_name,companies_house_status,official_domain,domain_status,domain_evidence,vat_search_status,vat_source_type,vat_source_url,source_text,vat_number,hmrc_status,hmrc_registered_name,hmrc_registered_address,name_match,address_match,decision,checked_at,notes
1,"03949597","GO SOUTH COAST LIMITED","confirmed","https://gosouthcoast.co.uk/","confirmed","OCDS links details.url to GB-COH 03949597; the website footer displays Go South Coast Ltd and company number 3949597.","candidate_found","official_terms_page","https://gosouthcoast.co.uk/terms-conditions","Vat Number: 504132793","504132793","valid","GO SOUTH COAST LIMITED","TOWNGATE HOUSE; 2-8 PARKSTONE ROAD; POOLE; BH15 2PR; GB","exact","different","accept","2026-08-23 17:39 BST","VAT was published on the confirmed official domain and HMRC returned the exact target legal name. The HMRC address differs from the current Companies House registered office; the difference is recorded without inferring its cause."
2,"04429834","J C BALLS & SONS LIMITED","confirmed","https://www.jcballs.co.uk/","confirmed","The official Legal Notice displays company number 04429834 and the registered address.","candidate_found","official_legal_notice","https://www.jcballs.co.uk/more/legal-notice/","VAT Number: GB 765 346 017","765346017","valid","YELL LIMITED","DAVIDSON HOUSE; THE FORBURY; READING; RG1 3EU; GB","different","different","valid_wrong_entity","2026-08-23","Valid VAT number, but HMRC returned an unrelated legal entity. Classified as valid_wrong_entity. The cause of the incorrect website attribution was not established."
3,"07687679","AIM 2 LEARN LTD","confirmed","https://aim2learn.org/","confirmed","The official domain uses the Aim2Learn name, email domain and Leeds contact details.","no_candidate_found","official_website_and_policy_documents",,"Searched homepage, About, Contact, Policies and selected governance PDFs; no VAT-labelled identifier was found.",,"not_applicable",,,,"not_applicable","no_candidate_found","2026-08-23","No VAT candidate was found on the checked official-domain sources. This does not establish that the company is not VAT registered."
4,"04933418","DRAIN LINE SOUTHERN LIMITED","confirmed","https://www.drainline.co.uk","confirmed","VAT candidate was found in the footer of the official company website.","candidate_found","official_website_footer","https://www.drainline.co.uk","VAT no 785562094","785562094","valid","DRAIN LINE SOUTHERN LTD","EAST SUSSEX HIGHWAYS DEPOT; BURWASH ROAD; HEATHFIELD; EAST SUSSEX; TN21 8RA; GB","equivalent","different","accept","2026-08-23 18:31 BST","HMRC returned the same legal entity using the abbreviated suffix LTD. The HMRC address differs from the current Companies House registered office; the difference was recorded without inferring its cause."
5,"07298409","APRICOT CENTRE CIC","confirmed","https://www.apricotcentre.co.uk/","confirmed","The official website footer identifies Apricot Centre CIC and company number 07298409.","no_candidate_found","official_website_shop_and_policy_pages",,"Checked the main website, policies, privacy notices, annual report index, the associated Ooooby shop, shop terms and privacy policy; no VAT-labelled identifier was found.",,"not_applicable",,,,"not_applicable","no_candidate_found","2026-08-23","No public VAT candidate was found in the checked sources. This does not demonstrate that the company is not VAT registered."
6,"10900264","THE INTERNATIONAL EDUCATION GROUP LIMITED","confirmed","https://theinternationaleducationgroup.org/","confirmed","The official Terms and Conditions page identifies The International Education Group as an English company with company number 10900264.","no_candidate_found","official_website_and_legal_pages",,"Checked the homepage, footer, Terms and Conditions, Privacy Policy, Contact page, Modern Slavery Statement and Carbon Reduction Plan; no VAT-labelled identifier was found.",,"not_applicable",,,,"not_applicable","no_candidate_found","2026-08-23","No public VAT candidate was found in the checked official-domain sources. This does not establish that the company is not VAT registered."
7,"03240655","YOUNG DEVON","confirmed","https://www.youngdevon.org/","confirmed","The website footer identifies Young Devon with charity number 1057949 and company number 3240655, equivalent to the canonical Companies House number 03240655.","no_candidate_found","official_website_and_policy_documents",,"Checked the homepage, core organisational pages, support and funding pages, Cookies Policy, Consent and Safeguarding notice, and the June 2026 Privacy Notice; no VAT-labelled identifier was found.",,"not_applicable",,,"not_applicable","not_applicable","no_candidate_found","2026-08-23","No public VAT candidate was found in the checked sources. The Privacy Notice also refers to Young Devon Trading Ltd, so any future VAT candidate from a commercial page would require entity-specific attribution."
8,"03959121","HOUSE BUILDER XL LIMITED","confirmed","https://skillsacademy.hbxl.co.uk/","confirmed","Skills Academy footer displays registered company number 3959121, equivalent to Companies House number 03959121; HBXL terms identify House Builder XL Limited as the site operator.","no_candidate_found","official_skills_software_and_shop_pages",,"Checked Skills Academy homepage, Contact and Policies; HBXL Terms, Privacy and Pricing; and shop homepage, Terms, Returns and Privacy. VAT was stated as applicable, but no VAT registration identifier was found.",,"not_applicable",,,"not_applicable","not_applicable","no_candidate_found","2026-08-23","No public VAT candidate was found. HBXL Group Limited is also referenced on the associated sites, so any future candidate from a group-level document requires entity-specific HMRC attribution."
9,"FC033379","FIELD MANAGEMENT IRELAND (NORTHERN IRELAND)","confirmed","https://fmi.ie/","confirmed","The official site lists the same Dublin address as Companies House and also publishes a Carbon Reduction Plan identifying FC033379.","no_candidate_found","official_website_and_public_documents",,"Checked the homepage, corporate and service pages, Privacy Statement, Gender Pay Gap Reports, Modern Slavery Statement and Carbon Reduction Plan; no VAT-labelled identifier was found.",,"not_applicable",,,"not_applicable","not_applicable","no_candidate_found","2026-08-24","The target is an overseas company incorporated in Ireland. The domain represents operations in both Ireland and Northern Ireland, so any future IE, GB or XI VAT candidate must be attributed to the correct jurisdiction and legal entity."
10,"04143823","DIGITAL PENINSULA NETWORK LIMITED","confirmed","https://digitalpeninsula.org/","confirmed","The official website footer displays Digital Peninsula Network Ltd, company number 04143823 and the same registered office as Companies House.","no_candidate_found","official_website_and_policy_documents",,"Checked the homepage, About, Contact, Privacy Policy, training pages and all 41 policy PDFs listed on the official website. Two policies contained generic VAT references, but no VAT registration identifier was found.",,"not_applicable",,,"not_applicable","not_applicable","no_candidate_found","2026-08-24","No public VAT candidate was found in the checked official-domain sources. This does not establish that the company is not VAT registered."
