companies_house_number,format_status,supplier_name,ppon,website,appearance_count,source_notice_ids
01307015,plausible,Ever brite,,,1,061536-2026
07380035,plausible,FUNDAPPS LTD,PJZR-1476-HQVH,,1,061540-2026
01057375,plausible,Birkin Cleaning Services Ltd,,,1,061568-2026
04187042,plausible,Polaris Britain Ltd,,,2,061580-2026 | 061594-2026
04808389,plausible,Speed Couriers Northern Ltd,,,2,061595-2026 | 061660-2026
04155336,plausible,CleanTEC Services Limited,,,1,061619-2026
2540814,needs_review,Addiction Recovery Agency,PYXN-6285-RLCH,,1,061644-2026
01817398,plausible,MICHELDEVER TYRE SERVICES LIMITED,PRGR-8343-VZVY,,1,061662-2026
00332098,plausible,STAPLETON'S (TYRE SERVICES) LIMITED,PDXG-6679-WPXH,,1,061662-2026
03949597,plausible,GO SOUTH COAST LIMITED,PBYL-1316-QQHJ,,1,061663-2026
00231369,plausible,Washco Ltd,,,1,061672-2026
OC301540,plausible,KPMG LLP,PMGV-6254-LTTL,,1,061684-2026
03577003,plausible,Alliance in Partnership Limited,,,1,061692-2026
04933418,plausible,DRAIN LINE SOUTHERN LIMITED,PYHM-3571-LTRJ,,1,061698-2026
01124715,plausible,BIOMARSH ENVIRONMENTAL LTD,PMZC-5955-JWQZ,,1,061698-2026
06842550,plausible,SEMILONG SERVICES LIMITED,PHML-7357-JLQW,,1,061698-2026
09203975,plausible,J. M. MORRIS PLANT HIRE LTD,PHJJ-1682-GVTD,,1,061698-2026
16381699,plausible,ZINGGROUP LTD,PCVD-3143-HRXV,,1,061698-2026
04429834,plausible,J C BALLS & SONS LIMITED,PLLL-4251-NTMY,,1,061698-2026
13687587,plausible,Carbonaires Limited,,,1,061726-2026
10900540,plausible,MORE IN COMMON,PHDZ-9519-DWNZ,,1,061758-2026
FC033379,plausible,FIELD MANAGEMENT IRELAND (NORTHERN IRELAND),PVNV-7667-GYJG,,1,061761-2026
