dataset,metric,value
development,companies,10
development,confirmed_domains,10
development,vat_candidates,3
development,hmrc_checked_candidates,3
development,accepted_relationships,2
development,valid_wrong_entity,1
development,candidate_hmrc_invalid,0
development,no_candidate_found,7
development,no_confirmed_domain,0
development,domain_unreachable,0
development,candidate_false_positive_rate,0.3333
development,verified_yield,0.2000
holdout,companies,30
holdout,confirmed_domains,27
holdout,vat_candidates,3
holdout,hmrc_checked_candidates,3
holdout,accepted_relationships,3
holdout,valid_wrong_entity,0
holdout,candidate_hmrc_invalid,0
holdout,no_candidate_found,21
holdout,no_confirmed_domain,3
holdout,domain_unreachable,3
holdout,candidate_false_positive_rate,0.0000
holdout,verified_yield,0.1000
combined,companies,40
combined,confirmed_domains,37
combined,vat_candidates,6
combined,hmrc_checked_candidates,6
combined,accepted_relationships,5
combined,valid_wrong_entity,1
combined,candidate_hmrc_invalid,0
combined,no_candidate_found,28
combined,no_confirmed_domain,3
combined,domain_unreachable,3
combined,candidate_false_positive_rate,0.1667
combined,verified_yield,0.1250
